trip,lon,lat,dive,datetime
F0417_10_SD_T1,-32.38350018181818,-3.813856818181818,0.06053529405144972,2017-04-26 05:35:00
F0417_10_SD_T1,-32.366755045454546,-3.8093465,0.06886322743922907,2017-04-26 05:40:00
F0417_10_SD_T1,-32.346075636363636,-3.8272756363636367,0.019309499969425745,2017-04-26 05:45:00
F0417_10_SD_T1,-32.326556,-3.843287227272728,0.5387890509533007,2017-04-26 05:50:00
F0417_10_SD_T1,-32.31611276923077,-3.852824230769231,0.5952652708580527,2017-04-26 05:55:00
F0417_10_SD_T1,-32.30465140909091,-3.8683333636363635,0.04271765033820207,2017-04-26 06:00:00
F0417_10_SD_T1,-32.28745221590909,-3.890389590909091,0.034249626959190094,2017-04-26 06:05:00
F0417_10_SD_T1,-32.266102363636364,-3.9063945,0.02495324805353434,2017-04-26 06:10:00
F0417_10_SD_T1,-32.24393481818182,-3.9236724545454544,0.029069218979057045,2017-04-26 06:15:00
F0417_10_SD_T1,-32.22493719166667,-3.9445078249999996,0.039403997690348656,2017-04-26 06:20:00
F0417_10_SD_T1,-32.2031985,-3.9580005989304814,0.7348607016979618,2017-04-26 06:25:00
F0417_10_SD_T1,-32.192493999999996,-3.981816068181818,0.026481536483712743,2017-04-26 06:30:00
F0417_10_SD_T1,-32.17690117045454,-4.004712261363636,0.02787900822093976,2017-04-26 06:35:00
F0417_10_SD_T1,-32.15914409848485,-4.02582675,0.043501450060451086,2017-04-26 06:40:00
F0417_10_SD_T1,-32.14267596590909,-4.046672768939395,0.04360364637629905,2017-04-26 06:45:00
F0417_10_SD_T1,-32.141794958333335,-4.074634041666666,0.021643170076577924,2017-04-26 06:50:00
F0417_10_SD_T1,-32.143458624999994,-4.097186621212121,0.7359000567517657,2017-04-26 06:55:00
F0417_10_SD_T1,-32.14334895454545,-4.108226500000001,0.7155120469968725,2017-04-26 07:00:00
F0417_10_SD_T1,-32.13882409090909,-4.109111863636363,0.6328125237428903,2017-04-26 07:05:00
F0417_10_SD_T1,-32.1446750909091,-4.113612181818182,0.5888018848509151,2017-04-26 07:10:00
F0417_10_SD_T1,-32.150115166666666,-4.120732666666667,3.2594193630678566e-12,2017-04-26 07:15:00
F0417_10_SD_T1,-32.151188,-4.1205940000000005,8.923816636245845e-08,2017-04-26 07:20:00
F0417_10_SD_T1,-32.15275579924243,-4.12034175,3.4043803841084556e-08,2017-04-26 07:25:00
F0417_10_SD_T1,-32.15400712500001,-4.120172250000001,1.120656384335598e-07,2017-04-26 07:30:00
F0417_10_SD_T1,-32.173859875000005,-4.119826189393939,0.5016760754017469,2017-04-26 07:35:00
F0417_10_SD_T1,-32.182345416666664,-4.129438833333333,0.5301586828530107,2017-04-26 07:40:00
F0417_10_SD_T1,-32.18787853921569,-4.1290405833333335,1.029170604782381e-06,2017-04-26 07:45:00
F0417_10_SD_T1,-32.189009125,-4.128955636363637,0.2848159023703575,2017-04-26 07:50:00
F0417_10_SD_T1,-32.178839136363635,-4.121108590909091,0.8176230201559491,2017-04-26 07:55:00
F0417_10_SD_T1,-32.173245242424244,-4.117910284090909,0.8450496094850596,2017-04-26 08:00:00
F0417_10_SD_T1,-32.178360477272726,-4.12289,0.3171825291664698,2017-04-26 08:05:00
F0417_10_SD_T1,-32.18171028409091,-4.127435098484849,0.4383126449947158,2017-04-26 08:10:00
F0417_10_SD_T1,-32.179572325757576,-4.126618261363637,0.6006048103617677,2017-04-26 08:15:00
F0417_10_SD_T1,-32.154504295454544,-4.113102363636363,0.8067081450151056,2017-04-26 08:20:00
F0417_10_SD_T1,-32.14624,-4.111144833333333,0.5484396494309053,2017-04-26 08:25:00
F0417_10_SD_T1,-32.14896752651515,-4.115481136363636,0.6661748020619539,2017-04-26 08:30:00
F0417_10_SD_T1,-32.154869,-4.113226,0.0010512074672031034,2017-04-26 08:35:00
F0417_10_SD_T1,-32.156054,-4.1130996,0.1245879140938436,2017-04-26 08:40:00
F0417_10_SD_T1,-32.17107724621212,-4.085907337121212,0.07305705965356588,2017-04-26 08:45:00
F0417_10_SD_T1,-32.183305227272726,-4.049521272727272,0.007553036842968349,2017-04-26 08:50:00
F0417_10_SD_T1,-32.21681604545454,-4.021861863636364,0.005147328456254336,2017-04-26 08:55:00
F0417_10_SD_T1,-32.233222727272725,-3.9836967727272725,0.0035631258588027506,2017-04-26 09:00:00
F0417_10_SD_T1,-32.25748204545455,-3.9438945454545458,0.000962134776124014,2017-04-26 09:05:00
F0417_10_SD_T1,-32.28547268181818,-3.9007119999999995,0.0003694802404489912,2017-04-26 09:10:00
F0417_10_SD_T1,-32.3205655,-3.8584804999999998,0.0002459002025015563,2017-04-26 09:15:00
F0417_10_SD_T1,-32.36202022727272,-3.8192689090909093,0.3557536372698324,2017-04-26 09:20:00
F0417_10_SD_T1,-32.381834409090914,-3.811311863636363,0.452748097610903,2017-04-26 09:25:00
F0417_11_SD_T1,-32.384834000000005,-3.814002,0.049415323619793165,2017-04-25 14:20:00
F0417_11_SD_T1,-32.3719595,-3.8015369999999997,0.5719272523077461,2017-04-25 14:25:00
F0417_11_SD_T1,-32.354582199999996,-3.7993485,0.4069621531817586,2017-04-25 14:30:00
F0417_11_SD_T1,-32.328550899999996,-3.7957132,0.015118979040690709,2017-04-25 14:35:00
F0417_11_SD_T1,-32.297514899999996,-3.7924733,0.2946971588468691,2017-04-25 14:40:00
F0417_11_SD_T1,-32.272958100000004,-3.804151299999999,0.012399739835419856,2017-04-25 14:45:00
F0417_11_SD_T1,-32.24042513333333,-3.8088353,0.013275789333166027,2017-04-25 14:50:00
F0417_11_SD_T1,-32.2086518,-3.8187363000000003,0.03980612640158684,2017-04-25 14:55:00
F0417_11_SD_T1,-32.18580213333333,-3.8301866999999996,0.770017067225755,2017-04-25 15:00:00
