trip,lon,lat,dive,datetime
F0915_11_SS_T1,-32.389938,-3.8165050000000003,0.12105651000316912,2015-09-30 04:35:00
F0915_11_SS_T1,-32.3785765,-3.8106465,0.1271081713757113,2015-09-30 04:40:00
F0915_11_SS_T1,-32.361901343750006,-3.81114490625,0.1060817081973368,2015-09-30 04:45:00
F0915_11_SS_T1,-32.345871833333334,-3.809708166666667,0.10422999980532284,2015-09-30 04:50:00
F0915_11_SS_T1,-32.329021499999996,-3.809689,0.10076981209196922,2015-09-30 04:55:00
F0915_11_SS_T1,-32.31182325,-3.80480459375,0.1022536331021663,2015-09-30 05:00:00
F0915_11_SS_T1,-32.29415428125,-3.79960484375,0.32691921106542604,2015-09-30 05:05:00
F0915_11_SS_T1,-32.288795,-3.797282,0.3454647208135138,2015-09-30 05:10:00
F0915_11_SS_T1,-32.27875427678572,-3.7938250625,0.16423863046138304,2015-09-30 05:15:00
F0915_11_SS_T1,-32.25978694047619,-3.787009642857143,0.09460525984463067,2015-09-30 05:20:00
F0915_11_SS_T1,-32.24061463571428,-3.779731421428572,0.10419614576523492,2015-09-30 05:25:00
F0915_11_SS_T1,-32.221485196428574,-3.7747972589285714,0.1038856216945781,2015-09-30 05:30:00
F0915_11_SS_T1,-32.201569455357145,-3.767709803571428,0.10159318057960948,2015-09-30 05:35:00
F0915_11_SS_T1,-32.18121738095238,-3.7605095238095236,0.10344680593996793,2015-09-30 05:40:00
F0915_11_SS_T1,-32.16123383333333,-3.7513615,0.1048942677516369,2015-09-30 05:45:00
F0915_11_SS_T1,-32.14044414285714,-3.7421902946428567,0.10139115141284444,2015-09-30 05:50:00
F0915_11_SS_T1,-32.119150000000005,-3.7325259375,0.09770699245371033,2015-09-30 05:55:00
F0915_11_SS_T1,-32.097510512499994,-3.7233718625,0.08838902913955231,2015-09-30 06:00:00
F0915_11_SS_T1,-32.076177072916664,-3.716846610416667,0.0884534933646959,2015-09-30 06:05:00
F0915_11_SS_T1,-32.054133433333334,-3.711227066666666,0.08358535592695794,2015-09-30 06:10:00
F0915_11_SS_T1,-32.03235319047619,-3.707499604761905,0.07965886387268101,2015-09-30 06:15:00
F0915_11_SS_T1,-32.00980999553572,-3.70221540625,0.08892051170561234,2015-09-30 06:20:00
F0915_11_SS_T1,-31.987518710416666,-3.6956326895833334,0.30919152472737005,2015-09-30 06:25:00
F0915_11_SS_T1,-31.981012,-3.6835903666666665,0.40286005945942016,2015-09-30 06:30:00
F0915_11_SS_T1,-31.975131500000003,-3.680689233333333,0.18831859980473986,2015-09-30 06:35:00
F0915_11_SS_T1,-31.952952419642855,-3.672883424107143,0.06607354237840328,2015-09-30 06:40:00
