trip,lon,lat,dive,datetime
P1108_12_SV_T1,-77.2777670546875,-11.79450275,0.6163326420429408,2008-11-29 19:50:00
P1108_12_SV_T1,-77.29179324999998,-11.8438285,0.0004160971611598605,2008-11-29 20:00:00
P1108_12_SV_T1,-77.32508225000001,-11.89812225,0.001970043762094673,2008-11-29 20:10:00
P1108_12_SV_T1,-77.36727275,-11.911567999999999,0.9701520284891758,2008-11-29 20:20:00
P1108_12_SV_T1,-77.3848145,-11.91923825,0.9621232752554576,2008-11-29 20:30:00
P1108_12_SV_T1,-77.41240850000001,-11.9208065,0.9567533119207582,2008-11-29 20:40:00
P1108_12_SV_T1,-77.4145385,-11.916279499999998,0.882315201274288,2008-11-29 20:50:00
P1108_12_SV_T1,-77.36816199999998,-11.839139,0.00023075598561467256,2008-11-29 21:00:00
P1108_12_SV_T1,-77.29807624999998,-11.791420500000001,0.00953000888806262,2008-11-29 21:10:00
P1108_12_SV_T1,-77.26364749999998,-11.771756,0.4656229801963999,2008-11-29 21:20:00
P1108_13_SV_T1,-77.2828930689655,-11.778195396551725,0.8452214429162973,2008-11-30 10:20:00
P1108_13_SV_T1,-77.3189987903226,-11.798518112903228,0.6943682577390332,2008-11-30 10:30:00
P1108_13_SV_T1,-77.35308304999998,-11.8324586,0.0020443700769812827,2008-11-30 10:40:00
P1108_13_SV_T1,-77.36481446146617,-11.860478395238095,0.8286510026530688,2008-11-30 10:50:00
P1108_13_SV_T1,-77.34773344999999,-11.8355665,0.7034833085754755,2008-11-30 11:00:00
P1108_13_SV_T1,-77.28888151612902,-11.789526225806453,0.01383200120959388,2008-11-30 11:10:00
P1108_13_SV_T2,-77.27045312903226,-11.77753729032258,0.19382924205321744,2008-11-30 15:10:00
P1108_13_SV_T2,-77.30553001612903,-11.794276548387096,0.6782265577283291,2008-11-30 15:20:00
P1108_13_SV_T2,-77.32521659032257,-11.840897583333335,0.9312088654592344,2008-11-30 15:30:00
P1108_13_SV_T2,-77.37504200000001,-11.839014483333333,0.0016827506474675065,2008-11-30 15:40:00
P1108_13_SV_T2,-77.42288773333334,-11.768858159375,0.7013916764281083,2008-11-30 15:50:00
P1108_13_SV_T2,-77.44301605057471,-11.733678183333334,0.8727218596540287,2008-11-30 16:00:00
P1108_13_SV_T2,-77.37224509375,-11.76173584375,0.00039192597228126017,2008-11-30 16:10:00
P1108_13_SV_T2,-77.302162,-11.780677066666668,0.013502219816278766,2008-11-30 16:20:00
P1108_15_SV_T1,-77.27877727272727,-11.791908606060606,0.8236662582236438,2008-11-29 18:20:00
P1108_15_SV_T1,-77.28991018750001,-11.84437815625,0.0001783047862995525,2008-11-29 18:30:00
P1108_15_SV_T1,-77.32102725,-11.9004415,0.001131067464502074,2008-11-29 18:40:00
P1108_15_SV_T1,-77.35275029205852,-11.95036568861024,0.07237037923310563,2008-11-29 18:50:00
P1108_15_SV_T1,-77.37026250000002,-11.99104175,0.9088582390649036,2008-11-29 19:00:00
P1108_15_SV_T1,-77.37831764367817,-12.022414471264366,0.9103183201568176,2008-11-29 19:10:00
P1108_15_SV_T1,-77.3874587702206,-12.03557240359477,0.9304846715829848,2008-11-29 19:20:00
P1108_15_SV_T1,-77.38141557842047,-11.96105560233593,0.00011344661466916863,2008-11-29 19:30:00
P1108_15_SV_T1,-77.33159166129033,-11.872023580645159,0.0002409436173411374,2008-11-29 19:40:00
P1108_15_SV_T1,-77.286215,-11.794580749999998,0.03565527007055171,2008-11-29 19:50:00
P1108_18_SV_T1,-77.272898,-11.7537595,0.21180403773435125,2008-12-01 14:30:00
P1108_18_SV_T1,-77.30964825000001,-11.708490000000001,0.8667250305220521,2008-12-01 14:40:00
P1108_18_SV_T1,-77.32755925000001,-11.72217725,0.96473323556263,2008-12-01 14:50:00
P1108_18_SV_T1,-77.2809575,-11.757585,0.05473999013153619,2008-12-01 15:00:00
P1108_18_SV_T2,-77.2806255,-11.754045,0.2294704345388771,2008-12-01 20:20:00
P1108_18_SV_T2,-77.33263224999999,-11.7350645,0.9749405000554492,2008-12-01 20:30:00
P1108_18_SV_T2,-77.3120135,-11.749399499999999,0.9412117400308472,2008-12-01 20:40:00
P1108_18_SV_T2,-77.2685655,-11.764539,0.2754613923615624,2008-12-01 20:50:00
P1108_1_SV_T1,-77.2762945,-11.7498735,0.16939549871704382,2008-11-23 12:50:00
P1108_1_SV_T1,-77.309024,-11.6925895,0.007064186488212555,2008-11-23 13:00:00
P1108_1_SV_T1,-77.3518465,-11.6617165,0.9368857449547864,2008-11-23 13:10:00
P1108_1_SV_T1,-77.34406950000002,-11.6819725,0.9264403990099986,2008-11-23 13:20:00
P1108_1_SV_T1,-77.306701,-11.721181,0.0012529192071667875,2008-11-23 13:30:00
P1108_1_SV_T1,-77.270953,-11.762141,0.4159029463467572,2008-11-23 13:40:00
P1108_20_SV_T1,-77.27172376666667,-11.761024933333333,0.9174566968465316,2008-12-01 19:00:00
P1108_20_SV_T1,-77.3185903548387,-11.721898645698925,0.2806527320780249,2008-12-01 19:10:00
P1108_20_SV_T1,-77.35394705376345,-11.707101567204301,0.9300378167029301,2008-12-01 19:20:00
P1108_20_SV_T1,-77.35651549212184,-11.695271388172044,0.911696219134548,2008-12-01 19:30:00
P1108_20_SV_T1,-77.30283995752688,-11.72926487204301,0.0005259638648541957,2008-12-01 19:40:00
P1108_20_SV_T1,-77.26715640114942,-11.764505832183907,0.119689143213875,2008-12-01 19:50:00
P1108_20_SV_T2,-77.268422,-11.777531499999998,0.13809745223733286,2008-12-01 22:00:00
P1108_20_SV_T2,-77.29361825000001,-11.792164484375,0.6213903757641331,2008-12-01 22:10:00
P1108_20_SV_T2,-77.3060259181818,-11.797701903030303,0.9229482965238754,2008-12-01 22:20:00
P1108_20_SV_T2,-77.27831210937498,-11.782634890625,0.9100320985636045,2008-12-01 22:30:00
P1108_21_SV_T1,-77.27776724193549,-11.743393806451612,0.12540058948416988,2008-12-01 12:50:00
P1108_21_SV_T1,-77.29763824999999,-11.6748115,0.0002323614284280541,2008-12-01 13:00:00
P1108_21_SV_T1,-77.31235000000001,-11.596445596774192,0.0002721737221108927,2008-12-01 13:10:00
P1108_21_SV_T1,-77.33840366129033,-11.520846887096774,0.00018877550678542409,2008-12-01 13:20:00
P1108_21_SV_T1,-77.40186917889909,-11.50654723853211,0.6360508433262926,2008-12-01 13:30:00
P1108_21_SV_T1,-77.44416377419354,-11.523490992857141,0.15340317135860818,2008-12-01 13:40:00
P1108_21_SV_T1,-77.462197,-11.5391765,0.9321983264069612,2008-12-01 13:50:00
P1108_21_SV_T1,-77.46236728846154,-11.579954565476191,0.9519314611234468,2008-12-01 14:00:00
P1108_21_SV_T1,-77.45983786830521,-11.587841432372507,0.9303959855659538,2008-12-01 14:10:00
P1108_21_SV_T1,-77.41103643103449,-11.623617517241382,0.000771682440169645,2008-12-01 14:20:00
P1108_21_SV_T1,-77.3541785,-11.6700795,0.0006476413061362611,2008-12-01 14:30:00
P1108_21_SV_T1,-77.29556488709677,-11.726462532258065,0.0013464761231938912,2008-12-01 14:40:00
P1108_21_SV_T1,-77.265573875,-11.772658666666667,0.5925870820889231,2008-12-01 14:50:00
P1108_21_SV_T2,-77.273106,-11.7658665,0.15741542394128205,2008-12-02 10:30:00
P1108_21_SV_T2,-77.30015001724138,-11.727934258620689,0.0013583703681656276,2008-12-02 10:40:00
P1108_21_SV_T2,-77.34725440608466,-11.679793925925926,0.9299913876525808,2008-12-02 10:50:00
P1108_21_SV_T2,-77.34580721111112,-11.68207039059829,0.9420773906388672,2008-12-02 11:00:00
P1108_21_SV_T2,-77.30560094959677,-11.721249911290322,0.8259936293299383,2008-12-02 11:10:00
P1108_21_SV_T2,-77.27550573901098,-11.75988210054945,0.9242956800337288,2008-12-02 11:20:00
P1108_21_SV_T2,-77.26504765625,-11.774131458333333,0.8466108103016327,2008-12-02 11:30:00
P1108_21_SV_T3,-77.243081,-11.7867,0.1698249298335976,2008-12-02 15:10:00
P1108_21_SV_T3,-77.19872883333333,-11.791526976190475,0.7685861977548227,2008-12-02 15:20:00
P1108_21_SV_T3,-77.2117466,-11.83175245632184,0.0004474683391291501,2008-12-02 15:30:00
P1108_21_SV_T3,-77.22259250000002,-11.88326425,0.0012143515994191658,2008-12-02 15:40:00
P1108_21_SV_T3,-77.20609715913977,-11.925446178571429,0.8974650984015308,2008-12-02 15:50:00
P1108_21_SV_T3,-77.20195090749525,-11.929865052325582,0.8805688848401511,2008-12-02 16:00:00
P1108_21_SV_T3,-77.23074596666666,-11.933230517142857,0.2790831256995001,2008-12-02 16:10:00
P1108_21_SV_T3,-77.255033375,-11.918204876358697,0.932808337443678,2008-12-02 16:20:00
P1108_21_SV_T3,-77.27024309999999,-11.930938275598086,0.9275544787264092,2008-12-02 16:30:00
P1108_21_SV_T3,-77.26030876495727,-11.93534752857143,0.8778476580475296,2008-12-02 16:40:00
P1108_21_SV_T3,-77.25958561538462,-11.925238147435898,0.928280734408238,2008-12-02 16:50:00
P1108_21_SV_T3,-77.26353625416667,-11.845054085253455,0.0002683589187126877,2008-12-02 17:00:00
P1108_21_SV_T3,-77.2653273125,-11.779104903017242,0.3490241499218417,2008-12-02 17:10:00
P1108_22_SV_T2,-77.2461925,-11.7808905,0.13815639000358432,2008-12-02 12:00:00
P1108_22_SV_T2,-77.2528365,-11.805238500000002,0.8912786533163799,2008-12-02 12:10:00
P1108_22_SV_T2,-77.277409,-11.819151,0.9011886525017192,2008-12-02 12:20:00
P1108_22_SV_T2,-77.26992299999998,-11.78549,0.03139264283719895,2008-12-02 12:30:00
P1108_22_SV_T3,-77.25617,-11.791627,0.18026236607901627,2008-12-02 15:50:00
P1108_22_SV_T3,-77.23680900000002,-11.850978999999999,0.00023939853569629962,2008-12-02 16:00:00
P1108_22_SV_T3,-77.2288075,-11.9159625,0.34309104050114875,2008-12-02 16:10:00
P1108_22_SV_T3,-77.23602649999998,-11.937286499999999,0.7793098644575791,2008-12-02 16:20:00
